geology,scenario,alpha,model,policy,horizon,trials,honest_deposits_mean,attack_deposits_mean,delta_mean,elasticity,delta_median,delta_p90,delta_p95,delta_p99,delta_maximum,maximum_prefix_delta_observed,probability_any_state_raising_selection,registered_conditional_success_probability,honest_k0_epochs_mean,honest_k1_epochs_mean,honest_k_ge_2_epochs_mean,attacked_counterfactual_k0_epochs_mean,attacked_counterfactual_k1_epochs_mean,attacked_counterfactual_k_ge_2_epochs_mean,actual_attacked_k0_epochs_mean,actual_attacked_k1_epochs_mean,actual_attacked_k_ge_2_epochs_mean,honest_exact_p_k0_epochs_mean,honest_exact_p_k1_epochs_mean,honest_exact_p_k_ge_2_epochs_mean,attacked_counterfactual_exact_p_k0_epochs_mean,attacked_counterfactual_exact_p_k1_epochs_mean,attacked_counterfactual_exact_p_k_ge_2_epochs_mean,selectable_epochs_mean,selection_attempt_epochs_mean,state_raising_selection_epochs_mean,harmful_selection_epochs_mean,discarded_valid_candidates_mean,replacement_discoveries_mean,attacker_replacements_mean,honest_replacements_mean,withheld_bitcoin_blocks_mean,bitcoin_reward_cost_mean_R,extra_sha_trials_mean,R_per_expected_global_marginal_deposit,attacker_captured_marginal_deposits_retain_share,R_per_expected_attacker_captured_deposit,divergence_duration_mean,probability_reconvergence_given_divergence,reconvergence_time_mean_given_observed,probability_terminal_state_diverged,terminal_g1_relative_difference_mean,terminal_g2_relative_difference_mean,private_fork_or_orphan_cost_R,latency_cost_R
raw-record,A-constant,0.1,A,prefer-shallow,100,256,0.4140625,0.4140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99.5859375,0.4140625,0.0,99.5859375,0.4140625,0.0,99.5859375,0.4140625,0.0,99.56058206745229,0.4383574980010751,0.0010604345465728693,99.56058206745229,0.4383574980010751,0.0010604345465728693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,A,prefer-shallow,476,256,1.46484375,1.46484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,474.53515625,1.4609375,0.00390625,474.53515625,1.4609375,0.00390625,474.53515625,1.4609375,0.00390625,474.55092877081023,1.4460196432828218,0.0030515859072205703,474.55092877081023,1.4460196432828218,0.0030515859072205703,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,A,prefer-shallow,800,256,1.97265625,1.97265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,798.02734375,1.96484375,0.0078125,798.02734375,1.96484375,0.0078125,798.02734375,1.96484375,0.0078125,798.073601134083,1.9226703575707471,0.0037285083461259944,798.073601134083,1.9226703575707471,0.0037285083461259944,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,A,prefer-shallow,2000,128,2.921875,2.921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1997.078125,2.9140625,0.0078125,1997.078125,2.9140625,0.0078125,1997.078125,2.9140625,0.0078125,1997.1737096031732,2.821695846356935,0.004594550478291955,1997.1737096031732,2.821695846356935,0.004594550478291955,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,A,prefer-shallow,10000,32,4.21875,4.21875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9995.78125,4.1875,0.03125,9995.78125,4.1875,0.03125,9995.78125,4.1875,0.03125,9996.029470788213,3.965708838341236,0.004820373689248641,9996.029470788213,3.965708838341236,0.004820373689248641,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,B,prefer-shallow,100,256,0.4453125,0.4453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99.5546875,0.4453125,0.0,99.5546875,0.4453125,0.0,99.5546875,0.4453125,0.0,99.55511707105101,0.4438106403573279,0.001072288591582893,99.55511707105101,0.4438106403573279,0.001072288591582893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,B,prefer-shallow,476,256,1.48828125,1.48828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,474.51171875,1.48828125,0.0,474.51171875,1.48828125,0.0,474.51171875,1.48828125,0.0,474.4986267466062,1.4981719874098616,0.0032012659844363202,474.4986267466062,1.4981719874098616,0.0032012659844363202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,B,prefer-shallow,800,256,2.0390625,2.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,797.9609375,2.0390625,0.0,797.9609375,2.0390625,0.0,797.9609375,2.0390625,0.0,798.0063710296939,1.9897157050247203,0.003913265281087011,798.0063710296939,1.9897157050247203,0.003913265281087011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,B,prefer-shallow,2000,128,2.9375,2.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1997.0625,2.9375,0.0,1997.0625,2.9375,0.0,1997.0625,2.9375,0.0,1997.1803591710209,2.815144767364149,0.004496061615524697,1997.1803591710209,2.815144767364149,0.004496061615524697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
raw-record,A-constant,0.1,B,prefer-shallow,10000,32,4.8125,4.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9995.1875,4.8125,0.0,9995.1875,4.8125,0.0,9995.1875,4.8125,0.0,9995.604719681975,4.390764987555333,0.0045153303602187425,9995.604719681975,4.390764987555333,0.0045153303602187425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
