epoch,target,epoch_minimum,epoch_minimum_height,pre_g1,pre_g2,post_g1,post_g2,transition,deposit,ratio_g2_g1,q,lambda,canonical_k,qualifier_hashes,qualifier_heights,ownership,network_selection_opportunity
0,26959535291011309493156476344723991336010898738574164086137773096960,3857338712755543345253973973591186299193617950513887497584803401,1430,,,,,initialize-a,,,,,,,,unspecified,
1,26959535291011309493156476344723991336010898738574164086137773096960,22196314501187840792218844525263652093585624848119336967297003374,3330,,,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374,initialize-b-clipped,,2.718281828459045235360287471,,,,,,unspecified,
2,26959535291011309493156476344723991336010898738574164086137773096960,36370633539262491523930694311833209246916398058090669190525100471,4132,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374,neither,False,2.718281828459045235360287471,0.0008233196255644809313396532745,1.659812365137993557580741001,0,,,unspecified,False
3,26959535291011309493156476344723991336010898738574164086137773096960,6868518151248224874998890723736317850858477005754489745292472969,6476,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868,unique-min,True,1.188839804300236868336750391,0.0008233196255644809313396532745,1.659812365137993557580741001,1,000000000010b24a122163f2037132d767e6c5bd4c0642d9669fd94845e93289,6476,unspecified,False
4,26959535291011309493156476344723991336010898738574164086137773096960,20517783918357704400686677744933765020661434804343970645277169829,8454,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868,neither,False,1.188839804300236868336750391,0.0003028823637581423824983229812,0.6106108453364150431166191302,0,,,unspecified,False
5,26959535291011309493156476344723991336010898738574164086137773096960,931492028057003874395386344318560180212915791631271829169196872,11686,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,unique-min,True,2.718281828459045235360287471,0.0003028823637581423824983229812,0.6106108453364150431166191302,1,00000000000243ab3dd422f82638c9651cfc401ac763b2228f00f6abae334f48,11686,unspecified,False
6,26959535291011309493156476344723991336010898738574164086137773096960,10192553838334817559571043157983627904611964117464395858680544445,13768,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,neither,False,2.718281828459045235360287471,0.0002547713852300075070964310546,0.5136191126236951343064050060,0,,,unspecified,False
7,26959535291011309493156476344723991336010898738574164086137773096960,9322345749560249708843904736883192037821081860836032526737623747,14770,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,neither,False,2.718281828459045235360287471,0.0002547713852300075070964310546,0.5136191126236951343064050060,0,,,unspecified,False
8,26959535291011309493156476344723991336010898738574164086137773096960,38445173981382853873542555483918658077302324267901226426765385169,17344,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,neither,False,2.718281828459045235360287471,0.0002547713852300075070964310546,0.5136191126236951343064050060,0,,,unspecified,False
9,26959535291011309493156476344723991336010898738574164086137773096960,3326984640737501679386281359991296392201203020881805997928889842,18703,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2526786619157105117027877339621716722609817530999190765092884627,3326984640737501679386281359991296392201203020881805997928889842,new-second,True,1.316686029407314811590457462,0.0002547713852300075070964310546,0.5136191126236951343064050060,2,00000000000816633b61ddf4d411169935a03ffc02495a6448d2d029590c3df2;00000000000bcae6934ca8f914b1724141ba708c6882657f6cba330965681e38,18703;19834,unspecified,True
10,26959535291011309493156476344723991336010898738574164086137773096960,11196363857430700920208899538706671917384959597516217274204905876,22018,2526786619157105117027877339621716722609817530999190765092884627,3326984640737501679386281359991296392201203020881805997928889842,2526786619157105117027877339621716722609817530999190765092884627,3326984640737501679386281359991296392201203020881805997928889842,neither,False,1.316686029407314811590457462,0.0001234066019619694791595185166,0.2487877095553304699855893294,0,,,unspecified,False
11,26959535291011309493156476344723991336010898738574164086137773096960,1565415003981129441392911171126354873809825239318232733315441298,23411,2526786619157105117027877339621716722609817530999190765092884627,3326984640737501679386281359991296392201203020881805997928889842,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,unique-min,True,1.614132107288505771571133402,0.0001234066019619694791595185166,0.2487877095553304699855893294,1,000000000003ce28ff7f9998c2f2a1fbd03fffcb4c13f65b6b82b40d4a272292,23411,unspecified,False
12,26959535291011309493156476344723991336010898738574164086137773096960,15413508001271756523872981995309447981429236986507491103598845091,26086,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,neither,False,1.614132107288505771571133402,0.00009372515482488941589637861117,0.1889499121269770624470992801,0,,,unspecified,False
