epoch,start_height,end_height,target,target_hex,epoch_minimum,epoch_minimum_hex,epoch_minimum_height,pre_g1,pre_g2,pre_g2_over_g1,lambda,deposit,transition_class,crossing_count,selective_opportunity,deeper_records_after_first_crossing,max_shallow_over_deep,post_g1,post_g2
0,0,2015,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,3857338712755543345253973973591186299193617950513887497584803401,000000000009606d829b157912edb060c406b519fb2bfcc1078c196b69c67e49,1430,,,,,,initialization-input-1,,,,,,
1,2016,4031,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,22196314501187840792218844525263652093585624848119336967297003374,000000000035f4cce8ac52847b6618f8bd3f53d501dc6a006839a0963a8f6f6e,3330,,,,,,initialize-clipped,,,,,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374
2,4032,6047,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,36370633539262491523930694311833209246916398058090669190525100471,0000000000586980359c4c669ce5247c4d084a03923f48f7f964857d4aba21b7,4132,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374,2.718281828459045,1.6598123651379937,False,neither,0,False,0,,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374
3,6048,8063,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,6868518151248224874998890723736317850858477005754489745292472969,000000000010b24a122163f2037132d767e6c5bd4c0642d9669fd94845e93289,6476,8165567774762564395586499251453268775359881340032553143329137868,22196314501187840792218844525263652093585624848119336967297003374,2.718281828459045,1.6598123651379937,True,unique-min,1,False,0,,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868
4,8064,10079,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,20517783918357704400686677744933765020661434804343970645277169829,000000000031e03f8f396ba4d1ae91489983fc878e3f4295e15052edf33858a5,8454,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868,1.1888398043002368,0.6106108453364151,False,neither,0,False,0,,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868
5,10080,12095,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,931492028057003874395386344318560180212915791631271829169196872,00000000000243ab3dd422f82638c9651cfc401ac763b2228f00f6abae334f48,11686,6868518151248224874998890723736317850858477005754489745292472969,8165567774762564395586499251453268775359881340032553143329137868,1.1888398043002368,0.6106108453364151,True,unique-min,1,False,0,,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969
6,12096,14111,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,10192553838334817559571043157983627904611964117464395858680544445,000000000018c6d781e2900dfbde519fd28b4b8408ac031e2ce8f573c604fcbd,13768,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2.718281828459045,0.5136191126236951,False,neither,0,False,0,,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969
7,14112,16127,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,9322345749560249708843904736883192037821081860836032526737623747,000000000016a94f5c52ee9cf61f09062ca2f7b996a9ddab33c92e59f26e4ac3,14770,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2.718281828459045,0.5136191126236951,False,neither,0,False,0,,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969
8,16128,18143,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,38445173981382853873542555483918658077302324267901226426765385169,00000000005d747d91b5eac43896f6813d4955c6de97ab7b047d8fc093579dd1,17344,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2.718281828459045,0.5136191126236951,False,neither,0,False,0,,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969
9,18144,20159,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,3326984640737501679386281359991296392201203020881805997928889842,00000000000816633b61ddf4d411169935a03ffc02495a6448d2d029590c3df2,18703,2526786619157105117027877339621716722609817530999190765092884627,6868518151248224874998890723736317850858477005754489745292472969,2.718281828459045,0.5136191126236951,True,new-second,2,False,0,,2526786619157105117027877339621716722609817530999190765092884627,3326984640737501679386281359991296392201203020881805997928889842
