scenario,geology,alpha,policy,years,epochs,repetitions,honest_expected_deposits,attack_expected_deposits,delta_N,delta_N_standard_error,delta_N_ci95,relative_supply_elasticity,attacker_associated_delta_N,attacker_associated_delta_N_standard_error,attacker_associated_delta_N_ci95,net_attacker_associated_delta_over_global_delta,expected_eligible_attacker_events,expected_forfeited_bitcoin_rewards_R,expected_net_fixed_height_reward_shortfall_R,expected_additional_network_valid_solution_intervals,expected_attacker_share_of_additional_hash_intervals,expected_zero_cost_all_discoveries_omissions,R_per_expected_extra_deposit,value_capture_proxy_if_attacker_exits,value_capture_proxy_if_hash_share_maintained,value_capture_upper_bound,gross_budget_cap_R,gross_budget_utilization,threshold_value_over_R,threshold_capture_fraction_assumption,warning,matched_control_budget
A-constant-target,c10-eclip,0.01,shallow-lock,1,26,4096,0.599609375,0.599609375,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,shallow-lock,4,104,4096,2.0712890625,2.0712890625,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,shallow-lock,10,261,4096,3.8271484375,3.8271484375,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,shallow-lock,25,652,4096,5.91552734375,5.91552734375,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,shallow-lock,50,1304,4096,7.60009765625,7.60009765625,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,shallow-lock,100,2609,4096,9.326171875,9.326171875,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,public-lock,1,26,4096,0.599609375,0.599609375,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,public-lock,4,104,4096,2.0712890625,2.0712890625,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,public-lock,10,261,4096,3.8271484375,3.8271484375,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,public-lock,25,652,4096,5.91552734375,5.91552734375,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,public-lock,50,1304,4096,7.60009765625,7.60009765625,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
A-constant-target,c10-eclip,0.01,public-lock,100,2609,4096,9.326171875,9.326171875,0.0,0.0,"[0.0, 0.0]",0.0,0.0,0.0,"[0.0, 0.0]",,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,1.0,,,,,,
